rule_id,rule_name,Why it Matters,Rule Description,Disabilities Affected,Description,Impact,Tags,Issue Type,ACT Rules
list,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Screen readers have a specific way of announcing lists. This feature makes
  lists clearer to understand, but will only work if lists are properly
  structured.


  When content elements other than list items are contained within a set of list
  elements, screen readers cannot inform the listener that they are listening to
  items within the list.


  For a list to be valid, it must have both parent elements (a set of
  ul elements or a set of ol elements) and child
  elements (declared inside of these tags using the li element),
  and any other content elements are invalid.


  Although some non-content elements such as script, template, style,
  meta, link, map, area, and datalist are permitted within lists,
  content elements other than li are not permitted.","Lists must be marked up correctly, meaning they must not contain
  content elements other than li elements.","Blind, Deafblind",Ensures <dl> elements are structured correctly,Serious,"cat.structure, wcag2a, wcag131, EN-301-549, EN-9.1.3.1",failure,
video-caption,<video> elements must have a <track> for captions,"If a video has no caption, deaf users have limited or no access to the
  information contained in it. Even if a captions track is available, ensure
  that it contains all meaningful information in the video, not just dialogue.


  Deaf viewers can see everything in the video but are not able to hear any of
  it without captions. Without a caption track, deaf viewers do not have a way
  of knowing the dialog, narration, or the essential sounds not spoken by
  people, such as ""dramatic instrumental music,"" applause, screams, or other
  sounds that set the scene, provide context, or give meaning to the video.","An HTML5 video element must include a track element
  with kind=""captions"" set as a property. The captions
  should convey all meaningful auditory information in the video including
  dialogue, musical cues, sound effects, and other relevant information for deaf
  users.",Deaf,Ensures <video> elements have captions,Critical,"cat.text-alternatives, wcag2a, wcag122, section508, section508.22.a, TTv5, TT17.a, EN-301-549, EN-9.1.2.2",needs review,eac66b
video-description,<video> elements must have an audio description <track>,"While blind people can hear the audio content of videos with no issue, they
  miss visual aspects of films such as facial expressions and scenes. Many
  things happen in movies that are completely visual, with no auditory
  component. For example, a person can make a facial expression, but not say any
  words. The camera can show a mountain scene, but no one in the movie says
  ""this is a mountain scene."" There is much visual information that blind people
  miss completely without audio. Audio descriptions are the solution to make
  visual information in movies accessible to blind people.


  If there is no accompanying narration or dialog to explain the visual
  activity, blind people don't know what's happening. To make that kind of video
  accessible to a blind person, you need to provide a version of the video with
  audio descriptions. Audio descriptions are a recording of a person explaining
  the visual aspects of the video that isn't in the video's original dialog or
  narration. Audio description works best when users can turn it on or off, or
  when there is a separate version of the video with audio descriptions for
  blind users, in addition to the original version without audio descriptions.","The HTML5 video element must have an audio description track to
  provide blind users with information the dialogue does not.",Blind,,,,,
accesskeys,accesskey attribute value must be unique,"Specifying a accesskey attribute value for some part of a
  document allows users to quickly activate or move the focus to a specific
  element by pressing the specified key (usually in combination with the
  alt key). Duplicating accesskey values
  creates unexpected effects that ultimately make the page less accessible.


  For each defined accesskey, ensure the value is unique and does
  not conflict with any default browser and screen reader shortcut keys.


  Content is not operable by keyboard users with no or low vision who cannot use
  devices such as mice that require eye-hand coordination, users who have
  trouble tracking a pointer, or users who must use alternate keyboards or input
  devices acting as keyboard emulators.","All accesskey attribute values in a document must be unique. Put
  another way, accesskeys must not be repeated to prevent
  unexpected effects for keyboard users.","Blind, Low Vision, Mobility",Ensures every accesskey attribute value is unique,Serious,"cat.keyboard, best-practice",failure,
area-alt,Active <area> elements must have alternate text,"Screen readers have no way of translating images into words. It is important
  that all images, including image maps, have alt text values.


  Screen readers typically announce the filename of the image if alternative
  text is missing. Filenames do not adequately describe images and are not
  helpful to screen reader users.","An image map is a single image with many clickable areas. Like all images, an
  image map must have alternate text for each of the different
  clickable areas, as well as for the larger image itself, since screen readers
  have no way of translating graphics into text.","Blind, Deafblind, Mobility",Ensures <area> elements of image maps have alternate text,Critical,"cat.text-alternatives, wcag2a, wcag244, wcag412, section508, section508.22.a, TTv5, TT6.a, EN-301-549, EN-9.2.4.4, EN-9.4.1.2, ACT","failure, needs review",c487ae
th-has-data-cells,"All <th> elements and elements with role=""columnheader"" or role=""rowheader"" must have data cells they describe","Screen readers have a specific way of announcing tables. When tables are not
  properly marked up, this creates the opportunity for confusing or inaccurate
  screen reader output.


  When tables are not marked up semantically and do not have the correct header
  structure, screen reader users cannot correctly perceive the relationships
  between the cells and their contents visually.","Data table markup can be tedious and confusing. Markup tables semantically and
  with the correct header structure. Screen readers have features to ease table
  navigation, but tables must be marked up accurately for these features to work
  correctly.","Blind, Deafblind",Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe,Serious,"cat.tables, wcag2a, wcag131, section508, section508.22.g, TTv5, TT14.b, EN-301-549, EN-9.1.3.1","failure, needs review",d0f69e
td-headers-attr,All cells in a <table> element that use the headers attribute must only refer to other cells of that same <table>,"Screen readers have a specific way of announcing tables. When tables are not
  properly marked up, this creates the opportunity for confusing or inaccurate
  screen reader output.


  Sighted users can usually tell at a glance what the table's headers are and
  what their relationship to the data is. For non-sighted users this must be
  done in the markup.


  When a data table is designed with accessibility in mind, the user enters into
  table navigation mode, which allows the user to navigate from cell to cell
  within the table while hearing the screen reader announce the corresponding
  table headers for the data cells. Hearing the table headers is especially
  helpful when navigating through large data tables, or when cells contain
  similar-sounding data that could be easily confused.


  Table navigation mode is not useful, though, if the table lacks accessibility
  features.","Data table markup can be tedious and confusing. Markup tables semantically and
  with the correct header structure. Screen readers have features to ease table
  navigation, but tables must be marked up accurately for these features to work
  correctly.","Blind, Deafblind",Ensure that each cell in a table that uses the headers attribute refers only to other cells in that table,Serious,"cat.tables, wcag2a, wcag131, section508, section508.22.g, TTv5, TT14.b, EN-301-549, EN-9.1.3.1","failure, needs review",a25f45
td-has-header,All non-empty <td> elements in tables larger than 3 by 3 must have an associated table header,"Screen readers have a specific way of announcing tables. When tables are not
  properly marked up, this creates the opportunity for confusing or inaccurate
  screen reader output.


  When tables are not marked up semantically and do not have the correct header
  structure, screen reader users cannot correctly perceive the relationships
  between the cells and their contents visually.","Data table markup can be tedious and confusing. Tables must be marked up done
  semantically and with the correct header structure. Screen readers have
  features to ease table navigation, but tables must be marked up accurately for
  these features to work correctly.","Blind, Deafblind",Ensure that each non-empty data cell in a <table> larger than 3 by 3 has one or more table headers,Critical,"cat.tables, experimental, wcag2a, wcag131, section508, section508.22.g, TTv5, TT14.b, EN-301-549, EN-9.1.3.1",failure,
region,All page content must be contained by landmarks,"Navigating a web page is far simpler for screen reader users if the content
  splits between multiple high-level sections. Content outside of sections is
  difficult to find, and the content's purpose may be unclear.


  Historically, HTML lacked some key semantic markers such as the ability to
  designate sections of the page as the header, navigation, main content, and
  footer. Using both HTML5 elements and ARIA landmarks in the same element is
  considered a best practice, but the future favors using native HTML5 element
  regions as browser support increases.","It is best practice to contain all content excepting skip links, within
  distinct regions such as the header, nav, main, and footer.","Blind, Deafblind, Mobility",Ensure elements that have scrollable content are accessible by keyboard,Serious,"cat.keyboard, wcag2a, wcag211, TTv5, TT4.a, EN-301-549, EN-9.2.1.1",failure,0ssw9k
color-contrast-enhanced,All text elements must have sufficient contrast between text in the foreground and background colors behind it in accordance with WCAG 2 AAA contrast ratio thresholds.,"Some people with low vision experience low contrast, meaning that there aren't
  very many bright or dark areas. Everything tends to appear about the same
  brightness, which makes it hard to distinguish outlines, borders, edges, and
  details. Text that is too close in luminance (brightness) to the background
  can be hard to read.


  There are nearly three times more individuals with low vision than those with
  total blindness. One in twelve people cannot see the average full spectrum of
  colors - about 8% of men and 0.4% of women in the US. A person with low vision
  or color blindness is unable to distinguish text against a background without
  sufficient contrast.

Color transparency and opacity is taken into account in the background.

  Color transparency and opacity in the foreground is more difficult to detect
  and account for due to:


1:1 colors in foreground and background.
CSS background gradients.
Background colors in CSS pseudo-elements.
Background colors created with CSS borders.

    Overlap by another element in the foreground - this sometimes comes up with
    tricky positioning.
  
Elements moved outside the viewport via CSS.","All text elements must have sufficient contrast between text in the foreground
  and background colors behind it in accordance with WCAG 2 AAA contrast ratio
  thresholds.",Low Vision,Ensures the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds,Serious,"cat.color, wcag2aaa, wcag146, ACT","failure, needs review",09o5cg
href-no-hash,Anchors must only be used as links with valid URLs or URL fragments,"Inaccessible link elements pose barriers to accessibility, as they are a
  fundamental component of a website.


  Users who rely exclusively on a keyboard (and no mouse) to navigate a webpage
  can only click on links that can receive programmatic focus. If a link cannot
  receive programmatic focus, it will be inaccessible to these users.


  Like sighted users, screen reader users need to know where a link is pointing.
  Inner link text provides this information, though it won't be useful if a
  screen reader can't access it.


  Keyboard users — such as blind screen reader users or people who cannot use a
  mouse due to tremors in their hands — can activate only the links and form
  elements that can receive programmatic focus. They cannot activate anything
  that cannot receive a programmatic focus. If any events are activated
  exclusively by the other types of focus, for example
  onmouseover events that depend on the mouse hover focus — those
  events will be inaccessible to keyboard users. By default, only links and form
  elements receive keyboard focus. Other elements can be modified to receive
  focus by adding tabindex=""0"".","Anchor links must be used with valid URLs or URL fragments so that they are
  discernible by a screen reader.","Blind, Deafblind, Mobility",,,,,
aria-valid-attr,ARIA attributes must conform to valid names,"If the developer uses a non-existent or misspelled ARIA attribute, the
  attribute will not be able to perform the accessibility function intended by
  the developer.


  In order to allow assistive technologies to convey appropriate information to
  persons with disabilities, user interface elements intended to improve the
  accessibility and interoperability of web and application content must conform
  to properly spelled and current ARIA attributes.


  When developers do not use attributes defined in the WAI-ARIA 1.1 W3C
  Recommendation, they do not properly convey user interface behaviors and
  structural information to assistive technologies in document-level markup.","ARIA attributes starting with aria- must have valid names.
  Referring to a misspelled attribute or to one that does not exist will result
  in an invalid attribute and thus failure of this rule.","Blind, Deafblind, Mobility",Ensures all ARIA attributes have valid values,Critical,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2","failure, needs review",6a7281
aria-valid-attr-value,ARIA attributes must conform to valid values,"ARIA attributes (i.e. starting with aria-) must contain valid
  values. These values must be spelled correctly and correspond to values that
  make sense for a particular attribute to perform the intended accessibility
  function.


  Many ARIA attributes accept a specific set of values. Allowed values,
  acceptable ""undefined"" values, and acceptable ""default"" values are required.
  Failure to comply with allowed values results in content that is not
  accessible to assistive technology users.","ARIA attributes starting with aria- must contain valid values.
  These values must be spelled correctly and correspond to values that make
  sense for a particular attribute in order to perform the intended
  accessibility function.","Blind, Deafblind, Mobility",Ensures all ARIA attributes have valid values,Critical,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2","failure, needs review",6a7281
aria-command-name,"ARIA button, link, and menuitem must have an accessible name","Screen reader users are not able to discern the purpose of elements with
  role=""link"", role=""button"", or
  role=""menuitem"" that do not have an accessible name.","ARIA command elements must have discernible text that clearly describes the
  destination, purpose, function, or action for screen reader users.","Blind, Low Vision, Mobility","Ensures every ARIA button, link and menuitem has an accessible name",Serious,"cat.aria, wcag2a, wcag412, TTv5, TT6.a, EN-301-549, EN-9.4.1.2, ACT","failure, needs review",97a4e1
aria-dialog-name,ARIA dialog and alertdialog must have an accessible name,"Screen reader users are not able to discern the purpose of elements with
  role=""dialog"" or role=""alertdialog"" that do not have
  an accessible name.","Aria dialog elements must have discernible text that clearly describes the
  destination, purpose, function, or action for screen reader users.","Blind, Low Vision, Mobility",Ensures every ARIA dialog and alertdialog node has an accessible name,Serious,"cat.aria, best-practice","failure, needs review",
aria-input-field-name,ARIA input fields must have an accessible name,"This new rule ensures every ARIA input field has an accessible name.
  Accessible names must exist for the following input field roles:


combobox
listbox
searchbox
slider
spinbutton
textbox",Ensures every ARIA input field has an accessible name.,"Blind, Deafblind, Mobility",Ensures every ARIA input field has an accessible name,Serious,"cat.aria, wcag2a, wcag412, TTv5, TT5.c, EN-301-549, EN-9.4.1.2, ACT","failure, needs review",e086e5
aria-meter-name,ARIA meter must have an accessible name,"Screen reader users are not able to discern the purpose of elements with
  role=""meter"" that do not have an accessible name.","Aria meter elements must have discernible text that clearly describes the
  destination, purpose, function, or action for screen reader users.","Blind, Low Vision, Mobility",Ensures every ARIA meter node has an accessible name,Serious,"cat.aria, wcag2a, wcag111, EN-301-549, EN-9.1.1.1","failure, needs review",
aria-progressbar-name,ARIA progressbar must have an accessible name,"Screen reader users are not able to discern the purpose of elements with
  role=""progressbar"" that do not have an accessible name.","Aria progressbar elements must have discernible text that clearly describes
  the destination, purpose, function, or action for screen reader users.","Blind, Low Vision, Mobility",Ensures every ARIA progressbar node has an accessible name,Serious,"cat.aria, wcag2a, wcag111, EN-301-549, EN-9.1.1.1","failure, needs review",
aria-allowed-role,ARIA role must be appropriate for the element,"Intended accessible technology behavior by a developer is not enabled when an
  assigned WAI-ARIA role value is invalid for the parent element.


  When screen readers and other assistive technologies do not know the role of
  each element on the web page, they are not able to interact with it
  intelligently, nor are they able to communicate the role to the user. When the
  value for a role is invalid, there is no way to communicate the element's
  features, properties, and methods to assistive technologies. For example,
  applying role=""table"" to a <ul> effectively
  hijacks the default semantics associated with the
  <ul> element in a way that screenreaders do not expect
  resulting in unexpected behavior.","Values assigned to WAI-ARIA role attributes must be valid. This means values
  must be spelled correctly, correspond to existing ARIA
  role values, and
  must not be abstract roles in order to correctly expose the purpose of the
    element.","Blind, Deafblind, Mobility",Ensures role attribute has an appropriate value for the element,Minor,"cat.aria, best-practice","failure, needs review",
aria-roles,ARIA roles used must conform to valid values,"Elements assigned invalid ARIA role values are not interpreted by assistive
  technology as intended by the developer.


  When screen readers and other assistive technologies do not know the role of
  each element on the web page, they are not able to interact with it
  intelligently, nor are they able to communicate the role to the user. An
  element's features, properties, and methods of conveying information to and/or
  from the user can't be communicated via assistive technologies when a role
  value is invalid.","Values assigned to ARIA role values must be valid. Role values must be spelled
  correctly, correspond to existing ARIA role values, and must not
  be abstract roles to correctly expose the purpose of the element.","Blind, Deafblind, Mobility",Ensures all elements with a role attribute use a valid value,Critical,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",failure,674b10
aria-toggle-field-name,ARIA toggle fields have an accessible name,"Ensures every element with a semantic role also has an accessible name.
  Semantic roles include:


checkbox
menu
menuitemcheckbox
menuitemradio
radio
radiogroup
switch",Ensures every ARIA toggle field has an accessible name.,"Blind, Deafblind, Mobility",Ensures every ARIA toggle field has an accessible name,Serious,"cat.aria, wcag2a, wcag412, TTv5, TT5.c, EN-301-549, EN-9.4.1.2, ACT","failure, needs review",e086e5
aria-tooltip-name,ARIA tooltip must have an accessible name,"Screen reader users are not able to discern the purpose of elements with
  role=""tooltip"" that do not have an accessible name.","Aria tooltip elements must have discernible text that clearly describes the
  destination, purpose, function, or action for screen reader users.","Blind, Low Vision, Mobility",Ensures every ARIA tooltip node has an accessible name,Serious,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2","failure, needs review",
aria-treeitem-name,ARIA treeitem must have an accessible name,"Screen reader users are not able to discern the purpose of elements with
  role=""treeitem"" that do not have an accessible name.","Aria treeitem elements must have discernible text that clearly describes the
  destination, purpose, function, or action for screen reader users.","Blind, Low Vision, Mobility",Ensures every ARIA treeitem node has an accessible name,Serious,"cat.aria, best-practice","failure, needs review",
aria-hidden-focus,aria-hidden elements do not contain focusable elements,"Using the aria-hidden=""true"" attribute on an element removes the
  element and ALL of its child nodes from the accessibility API making it
  completely inaccessible to screen readers and other assistive technologies.
  Aria-hidden may be used with extreme caution to hide visibly rendered content
  from assistive technologies only if the act of hiding this content is intended
  to improve the experience for users of assistive technologies by removing
  redundant or extraneous content. If aria-hidden is used to hide visible
  content from screen readers, the identical or equivalent meaning and
  functionality must be exposed to assistive technologies.


Note: Using aria-hidden=""false"" on content that
  is a descendent of an element that is hidden using
  aria-hidden=""true"" will NOT expose that content to the
  accessibility API and it will not be accessible to screen readers or other
  assistive technologies.


  The rule applies to any element with an
  aria-hidden=""true"" attribute.


  By adding aria-hidden=""true"" to an element, content authors
  ensure that assistive technologies will ignore the element. This can be used
  to hide decorative parts of a web page, such as icon fonts - that are not
  meant to be read by assistive technologies.


  A focusable element with aria-hidden=""true"" is ignored as part of
  the reading order, but still part of the focus order, making it’s state of
  visible or hidden unclear.




https://www.w3.org/WAI/WCAG21/Understanding/name-role-value.html




https://www.w3.org/TR/wai-aria-1.1/#aria-hidden




https://www.w3.org/TR/html/editing.html#can-be-focused","This rule checks aria-hidden elements do not contain focusable
  elements.","Blind, Low Vision, Deafblind, Mobility",Ensures aria-hidden elements are not focusable nor contain focusable elements,Serious,"cat.name-role-value, wcag2a, wcag412, TTv5, TT6.a, EN-301-549, EN-9.4.1.2","failure, needs review",6cfa84
aria-hidden-body,"aria-hidden=""true"" must not be present on the document <body>","When <body aria-hidden=""true"", content is not
  accessible to assistive technology.


  Applying aria-hidden=""true"" to otherwise accessible objects: A
  web page is designed to be fully accessible, and it would be accessible if
  elements do not contain the
  aria-hidden=""true"" attribute value. Screen readers do
  not read content marked with the
  aria-hidden=""true"" attribute value. Users can still tab
  to focusable elements in the hidden objects, but screen readers remain silent.


  Any content or interface elements intentionally hidden from users — e.g.,
  inactive dialogs, collapsed menus — must also be hidden from screen reader
  users. When items are available to sighted users — such as when they activate
  a button or expand a menu item — the same items must be available to screen
  reader users. The goal is to provide screen reader users an equivalent user
  experience to sighted users. If there is a compelling reason to hide content
  from sighted users, there is usually a compelling reason also to hide that
  content from blind users. Further, when content is made available to sighted
  users, it makes sense to make it available to blind users as well.","Document content is not accessible to assistive technology if
  <body aria-hidden=""true"">.",Blind,Ensures aria-hidden='true' is not present on the document body.,Critical,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",failure,
no-autoplay-audio,Audio must have controls that provide users with the ability to stop automatically played audio after three seconds,"People who are blind or have low vision and use screen reading software can
  find it hard to hear the screen reader's speech output if there is other audio
  playing at the same time. If automatically playing audio lasts more than three
  seconds, an easily located, accessible mechanism must be provided to pause or
  stop the audio or control the audio volume. An audio control allows screen
  reader users to hear the screen reader without other sounds playing.


Note:

    Playing audio automatically when landing on a page may affect a screen
    reader user's ability to find the mechanism to stop it because they navigate
    by listening and automatically started sounds might interfere with that
    navigation. Therefore, we discourage the practice of automatically starting
    sounds (especially if they last more than three seconds), and encourage that
    the sound be started by an action initiated by the user after they reach the
    page, rather than requiring that the sound be stopped by an action of the
    user after they land on the page.","Ensures <video> or <audio> elements do not autoplay audio for more
  than three seconds without a control mechanism to stop or mute the audio.","Blind, Deafblind, Cognitive",Ensures <video> or <audio> elements do not autoplay audio for more than 3 seconds without a control mechanism to stop or mute the audio,Moderate,"cat.time-and-media, wcag2a, wcag142, TTv5, TT2.a, EN-301-549, EN-9.1.4.2, ACT",needs review,80f0bf
autocomplete-valid,Autocomplete attribute must be used correctly,"Failure to provide autocomplete values in form fields results in inaccessible
  content. Screen readers do not read identified autocomplete form fields if the
  appropriate autocomplete attribute values are missing. Users cannot correctly
  navigate forms when screen readers cannot provide adequate information to the
  user regarding form field interaction requirements.","The purpose for each common input field that collects an individual's personal
  data is programmatically defined based on the list of 53 Input Purposes for
  User Interface Components. The autocomplete attribute values must be valid and
  correctly applied for screen readers to function correctly.","Attention Deficit, Blind, Low Vision, Deafblind, Mobility, Cognitive",Ensure the autocomplete attribute is correct and suitable for the form field,Serious,"cat.forms, wcag21aa, wcag135, EN-301-549, EN-9.1.3.5, ACT",failure,73f2c2
